TF,t
GABPA,-6.733085963
ASCL1,-5.563987536
MEIS2,-5.343194843
MEF2A,-5.323682772
ONECUT1,-5.238114002
HOXB13,-5.189082177
TEAD1,-4.980027267
RUNX2,-4.790261068
PDX1,-4.758803333
PBX3,-4.687294505
RFX2,-4.671273871
NANOG,-4.621177072
NCOA1,-4.617728342
POU5F1,-4.609016474
E2F4,-4.551875718
NCOA2,-4.548535663
ARNT,-4.415221077
NFYB,-4.338197391
MYC,-4.301004889
MAFK,-4.239896964
POU4F2,-4.204638729
E2F1,-4.170487614
EOMES,-4.1256411
ZBTB11,-4.018039773
NR2C2,-3.937175331
NR2F2,1.684313073
STAT5A,1.698479778
SOX13,1.713773481
FLI1,1.762195588
SMAD3,1.819615131
RELA,1.825274004
HMBOX1,1.889944964
TEAD2,1.891402421
SIX5,1.972804392
GATA2,1.982940588
ZNF24,2.362033301
HBP1,2.449670161
ERG,2.454094766
STAT2,2.466459546
STAT3,2.524273991
HNF4A,2.683095908
FOXP2,2.695585981
ZNF263,2.950630486
IRF3,3.057486766
KLF5,3.065990517
REST,3.771827275
ZEB2,4.272321465
ZNF639,5.007358069
THAP11,6.419751684
FOXP1,6.812335237
