TF,t
AHR,1.5770114338087173
AR,-0.8323974432102325
ARID2,5.986084515620743
ARID3A,-2.517667101219022
ARNT,4.167979793291926
ARNTL,-2.5520638029354514
ASCL1,-6.3481869977929914
ATF1,2.1469637958222996
ATF2,1.5155428121150063
ATF3,0.1959363390785122
ATF4,0.38877462262681584
ATF6,0.0016149019963887321
ATF7,0.20369369379018845
BACH1,-0.7519043107636273
BACH2,-0.2857571609018299
BATF,0.5337184612166428
BCL11A,0.4091684845538363
BCL6,0.3005833523844004
BHLHE22,0.6091913343173008
BHLHE40,3.20925478551614
CDX2,0.16734768885859574
CEBPA,0.49865561764327826
CEBPB,0.5918663301856815
CEBPD,0.9033642314577172
CEBPG,3.425702425009447
CLOCK,-4.24858259645346
CREB1,0.554042432202221
CREB3,-2.300193917504888
CREB3L1,-1.0031007646286003
CREM,-1.199995462929063
CTCF,-2.064820542922003
CTCFL,-9.011492529671525
CUX1,-1.820266461651144
DUX4,4.410278595670392
E2F1,2.9418514516584455
E2F2,-0.9846220611798576
E2F3,-0.5992945246292297
E2F4,1.6886040175483779
E2F5,1.3897331047965844
E2F6,3.693406130394243
E2F7,0.22363005216111434
EBF1,-2.6024749709377915
EGR1,-2.4034762944780828
EHF,1.5067314680730457
ELF1,-1.0118289026304785
ELF3,0.6682973681268405
ELF5,2.397089053702522
ELK1,-0.14389432732381616
ELK4,2.0535587128457147
EOMES,0.30352315614242686
EPAS1,-0.3213639647749963
ERG,0.3292272140996933
ESR1,-2.248829902607605
ESR2,0.4499284901678476
ESRRA,-4.601103910443379
ETS1,0.8194168531616186
ETS2,1.5644709851389014
ETV1,3.1722861775017965
ETV4,0.7184310212723971
FLI1,1.461550538601277
FOS,0.9056075658573659
FOSL1,0.8306159325438995
FOSL2,1.2971446463335492
FOXA1,-0.7462077036979511
FOXA2,0.1218800753522243
FOXJ2,2.945950885702912
FOXK2,-2.428181041703775
FOXL2,1.0748893904872887
FOXM1,1.8200333890632794
FOXO1,1.2697030717032816
FOXO3,1.280511614624216
FOXO4,1.1210168550979869
FOXP1,-4.564896112264232
FOXP2,1.3064607943402615
GABPA,0.5597989105299482
GATA1,0.6070028975506057
GATA2,-0.3138074949624155
GATA3,0.8047453193987764
GATA4,-1.1234632327753107
GATA6,1.8883254937954226
GFI1B,-1.9909370362404524
GLI2,-1.3002356159918576
GRHL2,-0.9705888612550702
HBP1,-1.4039242722571281
HHEX,-0.21802341341446266
HIF1A,-0.10560805313540945
HINFP,-0.6852137868551361
HMBOX1,-3.2636035695634367
HNF1A,0.5572915387747291
HNF1B,2.9081628153057895
HNF4A,-0.11150426749716408
HNF4G,-3.531016929029465
HOXA9,0.542405380757416
HOXB13,3.32756876928003
HSF1,-0.6188957218192884
IKZF1,-0.86074380475716
IRF1,2.3241993681351096
IRF2,5.195284858617618
IRF3,-9.793032226515132
IRF4,2.6008687891851516
IRF9,-0.19710611924087804
JUN,1.0593855253595896
JUNB,0.2684015331278958
JUND,-0.6439328203895868
KDM5B,-1.0001191532475717
KLF1,-8.209456257909814
KLF13,5.544930426092634
KLF3,4.01518249319317
KLF4,0.11304030298463225
KLF5,-5.972348670639732
KLF6,0.5542609454159202
KLF9,-8.09270595784145
KMT2A,-0.38445135700584265
LEF1,-0.1145830577360659
LHX2,3.4698439261302263
LYL1,-6.911602136887359
MAF,-2.598108585755121
MAFB,1.5471906494377203
MAFF,1.5722668656327905
MAFG,-0.6738885701459956
MAFK,-0.44947927622502576
MAX,-4.997521271968017
MAZ,-11.455667046501297
MBD1,6.140361597261409
MBD2,-7.201520773170928
MEF2A,5.723524740209978
MEF2B,-0.17397098721910023
MEF2C,2.5702868790934605
MEIS1,3.1091391959146177
MEIS2,2.5492484436734686
MITF,-0.19742898572785467
MNT,7.687512840235654
MXI1,3.988616605632609
MYB,-1.5687381052072167
MYBL2,4.046170902391242
MYC,-2.7959936031779904
MYCN,-0.42472420914340697
MYOD1,-3.4458294067017246
"NANOG",1.2052196784395794
NCOA1,2.570270141247207
NCOA2,3.2695064643176095
NCOA3,4.7467354433936375
NEUROD1,-6.01784579061921
NFATC1,3.0603086787799927
NFATC2,-1.509075670171063
NFE2,-2.1693225634802427
NFE2L1,-0.4175010579734731
NFE2L2,-1.5978713127757458
NFIC,-1.1714859694790933
NFKB1,3.7580419253938313
NFKB2,0.053741698101843
NFYA,-0.439522205996859
NFYB,-1.4629228508573082
NR1H2,-3.418271496002383
NR1H3,-2.147095792252021
NR2C2,0.4609250150409761
NR2F1,-10.271851861233529
NR2F2,-0.9405816988773532
NR2F6,2.3233363201269137
NR3C1,0.6742914677166822
NR4A1,-0.8072301568028624
NR5A1,-0.6102534322350656
NR5A2,-0.13688704423113504
NRF1,-6.262977510298712
ONECUT1,5.579470971062802
