TF,t
PRDM14,-12.0793445961955
MAZ,-11.4556670465013
NR2F1,-10.2718518612335
THAP1,-10.0108958483067
IRF3,-9.79303222651513
CTCFL,-9.01149252967153
SIX5,-8.78391253536902
KLF1,-8.20945625790981
KLF9,-8.09270595784145
SNAPC4,-7.73755073595647
MBD2,-7.20152077317093
LYL1,-6.91160213688736
TFAP4,-6.43088604978922
ASCL1,-6.34818699779299
NRF1,-6.26297751029871
NEUROD1,-6.01784579061921
KLF5,-5.97234867063973
ZNF740,-5.47331637496588
ZKSCAN1,-5.42280221805286
MAX,-4.99752127196802
PAX5,-4.96693153887498
ESRRA,-4.60110391044338
FOXP1,-4.56489611226423
CLOCK,-4.24858259645346
ZNF592,-4.03914951661782
NFKB1,3.75804192539383
SMAD5,3.92490861323857
MXI1,3.98861660563261
KLF3,4.01518249319317
MYBL2,4.04617090239124
RELA,4.15443083959205
ARNT,4.16797979329193
ZBTB11,4.19558230056156
TCF7,4.24257417166075
DUX4,4.41027859567039
RBPJ,4.45061168517645
TEAD1,4.45117857701643
NCOA3,4.74673544339364
TCF4,4.78257965189118
IRF2,5.19528485861762
STAT1,5.30622300176171
KLF13,5.54493042609263
ONECUT1,5.5794709710628
MEF2A,5.72352474020998
ARID2,5.98608451562074
MBD1,6.14036159726141
MNT,7.68751284023565
SNAI2,8.27427907494599
ZBTB7A,14.3952893584079
ZNF263,22.7424242375831
