TF,t
SPI1,2.34894887963187
ELF5,2.39708905370252
TFDP1,2.41410728359373
STAT2,2.53498087376484
MEIS2,2.54924844367347
NCOA1,2.57027014124721
MEF2C,2.57028687909346
PRDM1,2.59830598754926
IRF4,2.60086878918515
HNF1B,2.90816281530579
E2F1,2.94185145165845
FOXJ2,2.94595088570291
NFATC1,3.06030867877999
SOX11,3.09829146166062
MEIS1,3.10913919591462
ETV1,3.1722861775018
BHLHE40,3.20925478551614
NCOA2,3.26950646431761
HOXB13,3.32756876928003
TGIF2,3.33311755762943
CEBPG,3.42570242500945
LHX2,3.46984392613023
TCF12,3.50135392878894
REST,3.53241375498247
E2F6,3.69340613039424
NFKB1,3.75804192539383
SMAD5,3.92490861323857
MXI1,3.98861660563261
KLF3,4.01518249319317
MYBL2,4.04617090239124
RELA,4.15443083959205
ARNT,4.16797979329193
ZBTB11,4.19558230056156
TCF7,4.24257417166075
DUX4,4.41027859567039
RBPJ,4.45061168517645
TEAD1,4.45117857701643
NCOA3,4.74673544339364
TCF4,4.78257965189118
IRF2,5.19528485861762
STAT1,5.30622300176171
KLF13,5.54493042609263
ONECUT1,5.5794709710628
MEF2A,5.72352474020998
ARID2,5.98608451562074
MBD1,6.14036159726141
MNT,7.68751284023565
SNAI2,8.27427907494599
ZBTB7A,14.3952893584079
ZNF263,22.7424242375831
