TF,t
CEBPB,208.426177558014
HSF1,171.036960704299
EZH2phosphoT487,152.19199573887
SUZ12,124.075145506997
CTCF,91.6809184921499
ZNF622,71.2131087588481
ESR1,70.7149851570638
NR2F6,68.2090397981001
CBX8,56.6538113766382
ZNF143,43.5786749992352
RNF2,39.8847685039869
ZBTB7A,38.451481229659
GATA2,38.2283925938681
NFIB,36.8837287698701
ZNF433,36.819282180579
MAX,36.6274692772813
ZBTB12,35.8243247483565
MTA2,32.011854113214
JUND,31.6185985444926
PTBP1,30.9043795986833
ZBTB33,30.7015061396947
CBX5,29.9781209442111
HDAC2,29.9135049082718
RFX1,28.5547258069555
ZNF157,27.2308656329703
NR3C1,26.8952209658676
ZNF148,26.7393197755199
ZNF524,23.1775379262645
ZNF10,22.9332084730084
ZNF3,20.9126432145269
CHD2,20.8457816973604
ZNF324,20.3478508830806
DPF2,19.4916306244484
ZNF473,19.2505375220199
ASH1L,19.1530597166619
GABPA,18.6639169976061
ZNF493,18.4916825506974
PBX2,18.4574420799723
HDAC8,17.2329397016916
ZNF491,16.5815429366762
MCM7,16.5815429366762
MAFK,15.5104621545772
